domain,UserType
paytm.com,Internal
creditmate.in,Internal
fellowinfotech.com,Internal
fincollect.in,Internal
finmate.tech,Internal
firstgames.in,Internal
nearbuy.com,Internal
OCLTP.COM,Internal
one97.net,Internal
paytmcloud.in,Internal
paipai.mobi,Internal
paytminsurance.co.in,Internal
paytmmloyal.com,Internal
PAYTMMONEY.COM,Internal
paytmpayments.com,Internal
paytmservices.com,Internal
peoplestrong.com,Internal
pmltp.com,Internal
ppsltp.com,Internal
vss.in,Internal
